Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2026-03-12,22:58,CNR1103164,Incomplete,CUST4656,Auto,Bellandur,Basavanagudi,,,0,,0,,1,Customer Demand,,,,
2026-03-17,03:51,CNR5948693,Incomplete,CUST8617,Prime Sedan,Jayanagar,Jayanagar,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-08,06:16,CNR2662063,Success,CUST3053,Bike,MG Road,Hennur,13.48,6.41,0,,0,,0,,130,3.63,4.1,3.5
2026-03-21,07:46,CNR7685705,Success,CUST1139,Auto,Banashankari,Ramamurthy Nagar,10.99,13.48,0,,0,,0,,819,21.55,4.6,4.6
2026-03-10,14:06,CNR3605177,Success,CUST8734,Mini,Bannerghatta Road,Outer Ring Road,14.5,11.67,0,,0,,0,,612,10.41,4.7,4.4
2026-03-06,20:54,CNR9511030,Success,CUST1380,Prime SUV,Banashankari,Outer Ring Road,9.04,21.81,0,,0,,0,,728,17,3.8,4.5
2026-03-09,05:34,CNR1714376,Success,CUST5008,eBike,JP Nagar,Banaswadi,11.7,23.49,0,,0,,0,,165,6.06,4,3.6
2026-03-27,15:52,CNR8374353,Cancelled by Driver,CUST3723,eBike,Mahadevapura,Whitefield,,,0,,1,More than permitted people in there,0,,,,,
2026-03-02,18:58,CNR6936035,Cancelled by Driver,CUST3481,eBike,KR Puram,KR Puram,,,0,,1,The customer was coughing/sick,0,,,,,
2026-03-17,21:31,CNR6192722,Incomplete,CUST7084,Prime SUV,Yelahanka,Jayanagar,,,0,,0,,1,Other Issue,,,,
2026-03-19,04:15,CNR5959465,Success,CUST6926,Mini,Anekal,Kanakapura Road,3.97,18.13,0,,0,,0,,210,6.81,3.5,4.1
2026-03-25,03:33,CNR2718570,Cancelled by Driver,CUST3763,Prime Sedan,Sarjapur,Bannerghatta Road,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-26,00:43,CNR9235712,Success,CUST8222,Prime SUV,Airport Road,KR Puram,7.88,12.44,0,,0,,0,,142,6.77,4.7,4.5
2026-03-23,22:11,CNR7426998,Success,CUST7538,Mini,Kanakapura Road,Banaswadi,4.79,16.79,0,,0,,0,,148,13.35,3.9,4.2
2026-03-16,18:02,CNR6036027,Cancelled by Driver,CUST6044,Auto,Jayanagar,Hebbal,,,0,,1,More than permitted people in there,0,,,,,
2026-03-19,18:21,CNR9820269,Success,CUST4225,Prime SUV,Devanahalli,Vijayanagar,5.63,8.78,0,,0,,0,,996,21.94,4,4.5
2026-03-26,19:02,CNR1905325,Incomplete,CUST7259,eBike,BTM Layout,RR Nagar,,,0,,0,,1,Other Issue,,,,
2026-03-05,10:41,CNR9425922,Cancelled by Customer,CUST9353,Mini,Whitefield,Sahakar Nagar,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2026-03-17,16:09,CNR2812969,Success,CUST8602,Mini,ITPL,Brigade Road,11.71,16.61,0,,0,,0,,342,2.04,3.3,3.8
2026-03-13,23:08,CNR8757990,Success,CUST5241,Mini,Basavanagudi,Electronic City,14.31,11.03,0,,0,,0,,503,9.27,3.3,4.9
2026-03-14,22:33,CNR3950860,Success,CUST5828,Prime Sedan,Kadugodi,Peenya,8.95,14.82,0,,0,,0,,483,7.03,3.6,3.7
2026-03-06,21:35,CNR1930343,Success,CUST1422,Prime Plus,Banaswadi,Mahadevapura,7.45,19.55,0,,0,,0,,786,16.34,4.6,3.6
2026-03-08,04:06,CNR5368151,Success,CUST7486,Auto,Anekal,Mahadevapura,10,14.65,0,,0,,0,,910,12.67,4.5,4.1
2026-03-02,13:44,CNR7471192,Success,CUST7248,eBike,Sahakar Nagar,BTM Layout,10.96,24.93,0,,0,,0,,850,13.76,3.9,4.1
2026-03-09,02:56,CNR9475191,Incomplete,CUST4688,Auto,Mahadevapura,Sahakar Nagar,,,0,,0,,1,Customer Demand,,,,
2026-03-15,18:13,CNR2905476,Success,CUST1995,eBike,Kanakapura Road,Bellandur,12.29,21.32,0,,0,,0,,669,14.79,4,4.1
2026-03-26,13:03,CNR7028484,Success,CUST1867,Mini,Marathahalli,Yelahanka,5.49,14.45,0,,0,,0,,943,6.16,4.1,4.7
2026-03-13,05:05,CNR1536448,Cancelled by Driver,CUST6521,Bike,Indiranagar,Nagawara,,,0,,1,Customer related issue,0,,,,,
2026-03-17,17:17,CNR6794056,Cancelled by Driver,CUST9113,Mini,Bannerghatta Road,Rajajinagar,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-26,19:22,CNR3427517,Success,CUST5064,Bike,Peenya,BTM Layout,4.38,6.29,0,,0,,0,,110,17.59,3.2,4.8
2026-03-08,20:20,CNR9182266,Success,CUST1825,Mini,Hebbal,Hebbal,5.9,13.43,0,,0,,0,,1779,9.17,3.4,4.9
2026-03-03,15:04,CNR6982270,Success,CUST4447,Auto,Brigade Road,JP Nagar,2.49,10.34,0,,0,,0,,437,7.19,4,3.6
2026-03-10,23:19,CNR2833969,Success,CUST9662,Bike,Koramangala,Airport Road,5.93,6.94,0,,0,,0,,83,13.59,4,4.5
2026-03-25,12:30,CNR2786020,Success,CUST6199,Prime Sedan,BTM Layout,Hennur,8.99,18.27,0,,0,,0,,421,24.87,4.7,3.9
2026-03-28,19:04,CNR4858123,Cancelled by Driver,CUST8821,Prime SUV,Marathahalli,Hebbal,,,0,,1,More than permitted people in there,0,,,,,
2026-03-06,10:49,CNR9499951,Cancelled by Driver,CUST8563,Prime Plus,Vijayanagar,Indiranagar,,,0,,1,The customer was coughing/sick,0,,,,,
2026-03-18,16:36,CNR6459064,Success,CUST2959,Prime Sedan,RR Nagar,Horamavu,11.28,11.01,0,,0,,0,,790,18.67,3.5,3.9
2026-03-22,11:04,CNR3663756,Success,CUST2553,Bike,Whitefield,Kanakapura Road,5.01,5.14,0,,0,,0,,682,20.43,4.9,4.3
2026-03-18,23:37,CNR1663094,Incomplete,CUST2154,Prime SUV,Domlur,Hennur,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-23,00:53,CNR3487106,Success,CUST9208,Bike,Vijayanagar,Bellandur,10.35,8,0,,0,,0,,641,5.64,3.6,4.7
2026-03-13,22:42,CNR7265542,Success,CUST3869,Prime SUV,Banaswadi,Dasarahalli,10.28,20.77,0,,0,,0,,982,12.31,3.3,3.9
2026-03-12,12:44,CNR9413910,Success,CUST8676,Prime SUV,Sarjapur,JP Nagar,13.58,6.74,0,,0,,0,,435,18.48,4.9,4.6
2026-03-14,20:23,CNR4328752,Success,CUST3146,eBike,Marathahalli,Yelahanka,9.48,12.75,0,,0,,0,,156,17.22,4.8,4.6
2026-03-17,09:03,CNR9737466,Success,CUST4112,Auto,Brigade Road,Anekal,6.97,16.85,0,,0,,0,,78,20.55,3.9,3.9
2026-03-27,09:46,CNR7252100,Success,CUST8409,Prime Plus,CV Raman Nagar,MG Road,10.44,17.73,0,,0,,0,,211,9.8,4,4.8
2026-03-02,18:43,CNR5199523,Success,CUST8272,eBike,Ulsoor,Shivajinagar,4.59,8.49,0,,0,,0,,255,8.55,3.7,3.8
2026-03-14,12:49,CNR8938445,Success,CUST7830,eBike,Kadugodi,Shivajinagar,7.65,22.56,0,,0,,0,,94,9.68,4.6,3.6
2026-03-07,10:15,CNR7987702,Success,CUST8477,Bike,Domlur,Frazer Town,3.44,7.06,0,,0,,0,,1152,7.95,4.9,5
2026-03-02,14:54,CNR2967106,Cancelled by Customer,CUST9072,Prime Sedan,Yelahanka,Richmond Town,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2026-03-08,05:23,CNR8769089,Incomplete,CUST2970,Prime Sedan,BTM Layout,Devanahalli,,,0,,0,,1,Other Issue,,,,
2026-03-15,15:35,CNR5446424,Incomplete,CUST9296,Prime Sedan,Brookefield,Marathahalli,,,0,,0,,1,Customer Demand,,,,
2026-03-16,01:12,CNR1726017,Success,CUST2995,Prime Plus,Shivajinagar,Basavanagudi,13.04,18.31,0,,0,,0,,135,4.05,3.7,3.1
2026-03-16,05:42,CNR9013534,Success,CUST6409,eBike,Vijayanagar,Frazer Town,2.09,5.55,0,,0,,0,,133,3.64,3.4,4.7
2026-03-24,02:59,CNR1411662,Success,CUST8359,Auto,ITPL,Banaswadi,7.49,21.53,0,,0,,0,,164,13.96,3,4.6
2026-03-04,19:39,CNR8325531,Incomplete,CUST9888,Bike,Basavanagudi,Bommanahalli,,,0,,0,,1,Other Issue,,,,
2026-03-03,16:57,CNR2764153,Cancelled by Customer,CUST4864,Auto,Frazer Town,Banaswadi,,,1,Wrong Address,0,,0,,,,,
2026-03-25,12:18,CNR4571825,Incomplete,CUST4560,eBike,Kanakapura Road,Koramangala,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-25,07:33,CNR6541763,Success,CUST9068,eBike,Dasarahalli,Sahakar Nagar,2.34,11.5,0,,0,,0,,1047,17.41,4.4,4.6
2026-03-09,11:10,CNR6451262,Success,CUST2774,Prime Plus,Frazer Town,Brigade Road,5.25,24.66,0,,0,,0,,128,10.78,4.4,4.5
2026-03-13,18:14,CNR6970196,Success,CUST9340,Auto,Shivajinagar,Peenya,8.73,12.92,0,,0,,0,,186,18.65,3.6,4.8
2026-03-11,03:49,CNR6672489,Success,CUST2521,eBike,Horamavu,Mahadevapura,4.52,21.54,0,,0,,0,,138,1.01,4.5,3.5
2026-03-24,04:21,CNR7209281,Success,CUST7631,Prime SUV,Outer Ring Road,Peenya,5.24,18.96,0,,0,,0,,405,12.29,3.4,3.7
2026-03-19,19:22,CNR2032408,Success,CUST1126,Prime Sedan,Malleshwaram,Bannerghatta Road,10.52,14.73,0,,0,,0,,331,2.15,4.7,4.3
2026-03-03,11:18,CNR3522971,Cancelled by Driver,CUST3110,Prime Sedan,ITPL,Indiranagar,,,0,,1,Customer related issue,0,,,,,
2026-03-28,05:20,CNR3930533,Cancelled by Driver,CUST6946,eBike,Whitefield,Marathahalli,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-30,11:03,CNR6404894,Success,CUST8871,Prime SUV,ITPL,Koramangala,4.62,10.53,0,,0,,0,,375,9.48,4,4.4
2026-03-07,22:01,CNR1307786,Success,CUST5466,Prime Plus,Domlur,Kalyan Nagar,7.82,18.99,0,,0,,0,,1138,12.54,3.8,3.4
2026-03-26,19:58,CNR1951303,Success,CUST3754,Prime Sedan,Brookefield,Basavanagudi,9.98,14.99,0,,0,,0,,751,15.51,4.1,3.5
2026-03-29,17:40,CNR3173913,Success,CUST9896,Auto,Domlur,Bommanahalli,10.59,15.28,0,,0,,0,,243,13.78,3.2,3.1
2026-03-10,22:44,CNR5263204,Cancelled by Customer,CUST4451,eBike,KR Puram,CV Raman Nagar,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2026-03-02,09:04,CNR7229331,Incomplete,CUST9935,Prime Plus,Kanakapura Road,Electronic City,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-13,08:15,CNR7250139,Success,CUST7604,Auto,Electronic City,Devanahalli,5.79,12.42,0,,0,,0,,269,22.33,3.1,4.7
2026-03-18,19:27,CNR1534526,Success,CUST2715,Auto,Bellandur,Electronic City,2.39,21.72,0,,0,,0,,262,4.08,5,3.6
2026-03-28,08:25,CNR6477403,Success,CUST6758,eBike,Dasarahalli,CV Raman Nagar,9.06,15.48,0,,0,,0,,290,7.73,3.6,3.4
2026-03-15,07:53,CNR5263549,Success,CUST5434,eBike,Ramamurthy Nagar,Horamavu,11.59,20.12,0,,0,,0,,793,4.88,4.3,4.5
2026-03-05,04:10,CNR1206886,Success,CUST5781,Mini,Kanakapura Road,KR Puram,9.03,15.06,0,,0,,0,,448,20.95,3.1,4.1
2026-03-18,21:06,CNR7320111,Success,CUST6288,Prime Plus,Nagawara,Domlur,6.1,13.08,0,,0,,0,,79,5.57,3.5,3.8
2026-03-07,22:18,CNR9392808,Success,CUST2279,Prime SUV,Hennur,Indiranagar,14.9,9.91,0,,0,,0,,606,8.85,4.8,3.8
2026-03-11,23:37,CNR2374550,Success,CUST8924,Prime Plus,Outer Ring Road,CV Raman Nagar,14.81,23.1,0,,0,,0,,50,9.46,4.8,3.1
2026-03-09,16:03,CNR7459330,Cancelled by Customer,CUST3726,eBike,Chandapura,Anekal,,,1,Wrong Address,0,,0,,,,,
2026-03-10,18:13,CNR1639824,Success,CUST1804,Auto,MG Road,Dasarahalli,5.79,9.61,0,,0,,0,,89,15.73,3.8,4.1
2026-03-22,23:24,CNR2205438,Success,CUST5971,Prime Sedan,Hebbal,Koramangala,10.67,16.62,0,,0,,0,,138,17.56,4.2,4.3
2026-03-26,05:55,CNR5667306,Success,CUST8660,Bike,Rajajinagar,Mahadevapura,9.53,8.4,0,,0,,0,,377,18.78,4.5,4.2
2026-03-22,02:47,CNR9963181,Success,CUST7266,eBike,Richmond Town,Whitefield,8.32,13.87,0,,0,,0,,63,9.14,4.5,3.1
2026-03-27,23:01,CNR5125930,Success,CUST8083,Mini,Ramamurthy Nagar,Domlur,13.39,8.15,0,,0,,0,,126,13.37,3.2,3.8
2026-03-08,12:25,CNR9837738,Success,CUST6143,Prime SUV,Banashankari,Mahadevapura,14.56,20.65,0,,0,,0,,1698,2,3.5,4.6
2026-03-06,19:39,CNR9132447,Incomplete,CUST4498,Prime Sedan,KR Puram,Basavanagudi,,,0,,0,,1,Other Issue,,,,
2026-03-25,21:45,CNR4379865,Success,CUST1161,Prime Sedan,Dasarahalli,Sahakar Nagar,14.15,6.69,0,,0,,0,,137,6.72,3.2,4.8
2026-03-23,14:11,CNR2278188,Success,CUST4236,eBike,Peenya,Hebbal,7.18,15.42,0,,0,,0,,264,20.72,3.6,3.6
2026-03-30,10:28,CNR3084316,Success,CUST1170,eBike,Ramamurthy Nagar,Kadugodi,11.13,18.66,0,,0,,0,,479,11.58,3.6,3.9
2026-03-25,22:51,CNR9892767,Incomplete,CUST8183,Auto,Sarjapur,Banaswadi,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-20,16:36,CNR4760359,Incomplete,CUST7858,Prime Plus,Nagawara,HSR Layout,,,0,,0,,1,Other Issue,,,,
2026-03-08,12:52,CNR3811181,Success,CUST3402,Prime Sedan,Banashankari,Anekal,12.07,13.97,0,,0,,0,,310,21.39,4.5,4.9
2026-03-16,00:28,CNR1347283,Success,CUST3041,Auto,MG Road,Malleshwaram,2.3,13.73,0,,0,,0,,262,5.31,4.4,4.8
2026-03-28,08:42,CNR6086618,Incomplete,CUST4541,Auto,Bommanahalli,Indiranagar,,,0,,0,,1,Customer Demand,,,,
2026-03-27,03:54,CNR3097307,Cancelled by Customer,CUST5651,Auto,Peenya,Banashankari,,,1,Driver is not moving towards pickup location,0,,0,,,,,
2026-03-29,08:16,CNR5191179,Success,CUST6029,Mini,Hennur,Brookefield,13.8,19.88,0,,0,,0,,168,13.16,4.9,4.1
2026-03-07,06:34,CNR4265745,Success,CUST6369,Mini,KR Puram,Ramamurthy Nagar,12.23,5.12,0,,0,,0,,294,1.53,4.1,4
2026-03-06,19:44,CNR7630278,Cancelled by Driver,CUST9710,Prime Plus,Bellandur,KR Puram,,,0,,1,Customer related issue,0,,,,,
2026-03-16,14:28,CNR7252762,Success,CUST5345,Auto,Horamavu,Devanahalli,2.53,12.33,0,,0,,0,,459,6.09,4.5,3.1
2026-03-18,10:55,CNR5661940,Success,CUST8265,Mini,Bommanahalli,BTM Layout,9.66,13.11,0,,0,,0,,125,8.41,4.4,3.3
2026-03-19,20:15,CNR6736171,Incomplete,CUST7974,Auto,Rajajinagar,Koramangala,,,0,,0,,1,Customer Demand,,,,
2026-03-21,03:22,CNR7620165,Incomplete,CUST1299,eBike,Silk Board,BTM Layout,,,0,,0,,1,Other Issue,,,,
2026-03-06,11:18,CNR1358706,Success,CUST7695,Prime Sedan,Brigade Road,KR Puram,9.3,14.72,0,,0,,0,,415,14.05,4.5,3.4
2026-03-04,06:11,CNR6303267,Success,CUST7406,eBike,Domlur,Kalyan Nagar,5.96,12.04,0,,0,,0,,977,7.44,5,3.8
2026-03-19,12:22,CNR4086098,Cancelled by Customer,CUST5721,Bike,Sarjapur,Devanahalli,,,1,Change of plans,0,,0,,,,,
2026-03-18,21:41,CNR3624801,Cancelled by Driver,CUST7968,Prime Plus,Peenya,Richmond Town,,,0,,1,The customer was coughing/sick,0,,,,,
2026-03-26,01:40,CNR2955132,Incomplete,CUST8101,Prime Plus,Anekal,Vijayanagar,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-04,23:11,CNR9140879,Cancelled by Driver,CUST1308,Mini,Bellandur,Silk Board,,,0,,1,Customer related issue,0,,,,,
2026-03-15,15:27,CNR7168377,Success,CUST5984,Prime Sedan,JP Nagar,Richmond Town,10.27,24.48,0,,0,,0,,267,12.37,3.7,4.6
2026-03-01,02:48,CNR6249027,Success,CUST3113,Bike,Bannerghatta Road,Indiranagar,8.88,5.45,0,,0,,0,,478,14.35,3.7,4.8
2026-03-16,21:20,CNR6599424,Success,CUST3021,Prime SUV,Hebbal,Domlur,10.48,6.95,0,,0,,0,,727,15.94,5,4.2
2026-03-08,13:23,CNR1682858,Success,CUST9677,Auto,Sahakar Nagar,Airport Road,9.37,23.98,0,,0,,0,,522,24.67,4.1,4.4
2026-03-22,02:58,CNR9087663,Cancelled by Driver,CUST7612,Prime Plus,Frazer Town,Chandapura,,,0,,1,More than permitted people in there,0,,,,,
2026-03-07,19:31,CNR5078840,Success,CUST8430,Prime Sedan,Koramangala,Chandapura,11.68,7.51,0,,0,,0,,387,21.99,3.5,4.2
2026-03-19,12:32,CNR9649566,Success,CUST4023,Prime Sedan,Malleshwaram,KR Puram,13.17,8.29,0,,0,,0,,911,23.68,4.8,4.2
2026-03-27,01:28,CNR9670200,Success,CUST5782,eBike,Bommanahalli,Horamavu,12.67,16.5,0,,0,,0,,292,5.8,3.3,3.6
2026-03-21,22:51,CNR5636709,Incomplete,CUST6784,Prime Plus,Mahadevapura,Sahakar Nagar,,,0,,0,,1,Vehicle Breakdown,,,,
2026-03-30,06:51,CNR8834278,Success,CUST6460,Mini,Silk Board,Kalyan Nagar,5.06,6.88,0,,0,,0,,465,14.13,4.1,3.8
2026-03-28,15:31,CNR5043700,Incomplete,CUST8403,Auto,Richmond Town,JP Nagar,,,0,,0,,1,Customer Demand,,,,
2026-03-27,17:22,CNR9815823,Success,CUST3296,Prime SUV,Ramamurthy Nagar,Silk Board,8.58,9.77,0,,0,,0,,730,12.35,4.1,4.7
2026-03-20,23:03,CNR5474743,Cancelled by Driver,CUST5237,Mini,Brookefield,Mahadevapura,,,0,,1,Customer related issue,0,,,,,
2026-03-17,03:16,CNR5407663,Cancelled by Driver,CUST9428,Prime SUV,Bommanahalli,Hennur,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-02,04:20,CNR8460321,Success,CUST2133,Bike,Jayanagar,Jayanagar,6.81,11.08,0,,0,,0,,75,16.11,3.9,3.6
2026-03-20,07:56,CNR2503682,Cancelled by Driver,CUST3202,Auto,Kadugodi,Devanahalli,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-11,10:33,CNR7623169,Success,CUST7854,Prime Sedan,Devanahalli,Malleshwaram,8.55,19.38,0,,0,,0,,478,24.83,4.4,3.2
2026-03-14,06:49,CNR3860067,Success,CUST6034,Prime SUV,CV Raman Nagar,Banashankari,8.2,17.85,0,,0,,0,,73,24.57,4.1,4.2
2026-03-01,10:20,CNR3892526,Success,CUST7829,Mini,Banashankari,Kanakapura Road,2.9,17.8,0,,0,,0,,87,6.42,4.4,4.3
2026-03-19,04:18,CNR8237633,Success,CUST1524,Mini,Ramamurthy Nagar,Rajajinagar,9.02,23.13,0,,0,,0,,153,24.12,3.5,4.2
2026-03-10,00:02,CNR3425647,Cancelled by Driver,CUST4058,Bike,Bannerghatta Road,Airport Road,,,0,,1,Personal & Car related issues,0,,,,,
2026-03-21,19:41,CNR6999232,Success,CUST6574,Auto,KR Puram,Brigade Road,11.58,9.94,0,,0,,0,,541,18.97,4.7,4.9
2026-03-26,02:45,CNR8410016,Cancelled by Driver,CUST2295,Bike,HSR Layout,Basavanagudi,,,0,,1,More than permitted people in there,0,,,,,
2026-03-09,14:20,CNR8082650,Cancelled by Customer,CUST4396,Prime SUV,Rajajinagar,Sahakar Nagar,,,1,Change of plans,0,,0,,,,,
2026-03-27,01:23,CNR9366570,Cancelled by Customer,CUST7481,Auto,Kadugodi,Frazer Town,,,1,AC is not working,0,,0,,,,,
2026-03-02,08:22,CNR8551933,Cancelled by Driver,CUST7071,Prime Sedan,BTM Layout,Kadugodi,,,0,,1,Customer related issue,0,,,,,
2026-03-28,03:56,CNR1538462,Success,CUST4054,Prime SUV,Hennur,Jayanagar,4.28,12.36,0,,0,,0,,861,18.88,3.7,4.1
2026-03-08,14:34,CNR7120610,Success,CUST1589,Prime Sedan,ITPL,Jayanagar,11.44,16.38,0,,0,,0,,1015,6.52,3.4,4
2026-03-18,20:17,CNR8113404,Success,CUST8746,Prime Sedan,BTM Layout,Ramamurthy Nagar,11.2,6.93,0,,0,,0,,313,18.89,4.1,4.2
2026-03-11,21:36,CNR5842427,Success,CUST3502,eBike,Silk Board,HSR Layout,10.14,24.91,0,,0,,0,,779,14.04,4.9,4.8
2026-03-16,03:59,CNR7425938,Success,CUST7960,Prime Sedan,Basavanagudi,MG Road,9,15.81,0,,0,,0,,837,3.46,4.2,4.8
2026-03-06,09:46,CNR8795311,Success,CUST2184,Prime Sedan,Peenya,Chandapura,4.16,14.33,0,,0,,0,,802,24.49,4.6,3.5
2026-03-27,13:20,CNR2500554,Success,CUST7314,Bike,KR Puram,Indiranagar,8.85,21.48,0,,0,,0,,799,9.69,4.3,4.2
2026-03-26,20:14,CNR2864070,Success,CUST5889,Auto,RR Nagar,Horamavu,6.78,9.71,0,,0,,0,,309,7.91,3.9,4.5
